resume_text,skills,education,certifications,experience_years,job_title_similarity,label
"Experienced in Python, Machine Learning, and Java. Holds a High School degree. Certified in AWS Certified. 7 years of experience.","Marketing, Machine Learning",PhD,PMP,10,0.48,1
"Experienced in Cloud Computing, Machine Learning, and Cloud Computing. Holds a High School degree. Certified in Google Data Analytics. 7 years of experience.","Machine Learning, Cloud Computing",Master's,None,7,0.84,1
"Experienced in Deep Learning, SQL, and Project Management. Holds a Bachelor's degree. Certified in Certified Ethical Hacker. 13 years of experience.","Cybersecurity, Machine Learning, Data Analysis, SQL",Bachelor's,Google Data Analytics,8,0.53,0
"Experienced in Marketing, Cloud Computing, and Java. Holds a PhD degree. Certified in PMP. 13 years of experience.","Cybersecurity, Deep Learning",PhD,Certified Ethical Hacker,19,0.22,1
"Experienced in SQL, Marketing, and Deep Learning. Holds a Master's degree. Certified in None. 1 years of experience.","Cloud Computing, Machine Learning",PhD,Google Data Analytics,14,0.64,0
"Experienced in Python, Python, and Cybersecurity. Holds a PhD degree. Certified in PMP. 15 years of experience.","Project Management, SQL",Master's,None,16,0.68,1
"Experienced in Data Analysis, Data Analysis, and Cybersecurity. Holds a High School degree. Certified in Certified Ethical Hacker. 4 years of experience.","Java, Python, Marketing",High School,Google Data Analytics,10,0.4,0
"Experienced in SQL, Project Management, and Marketing. Holds a Master's degree. Certified in Google Data Analytics. 9 years of experience.","Python, Marketing, Cybersecurity, Deep Learning",Master's,Google Data Analytics,20,0.51,0
"Experienced in Machine Learning, Data Analysis, and Python. Holds a PhD degree. Certified in AWS Certified. 12 years of experience.","Java, Python, Cybersecurity",Bachelor's,Google Data Analytics,16,0.49,0
"Experienced in Deep Learning, Cybersecurity, and Python. Holds a Master's degree. Certified in Certified Ethical Hacker. 3 years of experience.","Project Management, Cloud Computing, Marketing",PhD,AWS Certified,7,0.79,1
"Experienced in Data Analysis, Marketing, and Deep Learning. Holds a High School degree. Certified in None. 3 years of experience.","Cloud Computing, Java",PhD,Google Data Analytics,1,0.49,1
"Experienced in Marketing, Cloud Computing, and Machine Learning. Holds a PhD degree. Certified in AWS Certified. 10 years of experience.","Python, Deep Learning",Bachelor's,AWS Certified,20,0.57,0
"Experienced in Cloud Computing, Deep Learning, and Marketing. Holds a PhD degree. Certified in AWS Certified. 12 years of experience.","SQL, Project Management",High School,AWS Certified,15,0.36,1
"Experienced in Project Management, Python, and Cybersecurity. Holds a Master's degree. Certified in Google Data Analytics. 9 years of experience.","Machine Learning, Python",Master's,Certified Ethical Hacker,3,0.33,1
"Experienced in Project Management, Python, and Python. Holds a High School degree. Certified in None. 1 years of experience.","Java, SQL, Project Management",High School,Certified Ethical Hacker,17,0.45,0
"Experienced in Python, Java, and Project Management. Holds a Master's degree. Certified in AWS Certified. 14 years of experience.","Java, Cybersecurity, Marketing",High School,Certified Ethical Hacker,8,0.7,1
"Experienced in Python, Machine Learning, and Cybersecurity. Holds a High School degree. Certified in Google Data Analytics. 4 years of experience.","Java, Python",High School,None,14,0.53,0
"Experienced in Java, Python, and Project Management. Holds a Bachelor's degree. Certified in PMP. 8 years of experience.","SQL, Cloud Computing",Bachelor's,AWS Certified,8,0.21,0
"Experienced in Machine Learning, Cybersecurity, and Marketing. Holds a Bachelor's degree. Certified in PMP. 4 years of experience.","Cybersecurity, Project Management",Master's,None,7,0.38,1
"Experienced in Marketing, Data Analysis, and Deep Learning. Holds a PhD degree. Certified in AWS Certified. 8 years of experience.","Deep Learning, Data Analysis",High School,Google Data Analytics,8,0.88,0
"Experienced in SQL, Cloud Computing, and Cybersecurity. Holds a PhD degree. Certified in Google Data Analytics. 11 years of experience.","Cybersecurity, Java, Data Analysis, Marketing",High School,Google Data Analytics,14,0.52,0
"Experienced in Cloud Computing, Project Management, and SQL. Holds a Master's degree. Certified in AWS Certified. 13 years of experience.","Cloud Computing, Marketing, Machine Learning",PhD,Certified Ethical Hacker,9,0.45,1
"Experienced in Machine Learning, Cloud Computing, and Project Management. Holds a PhD degree. Certified in Google Data Analytics. 11 years of experience.","Java, Cloud Computing, Deep Learning",Master's,None,16,0.29,0
"Experienced in Marketing, Project Management, and Cybersecurity. Holds a Master's degree. Certified in PMP. 2 years of experience.","Data Analysis, Cloud Computing, SQL",Bachelor's,AWS Certified,18,0.21,1
"Experienced in Python, Machine Learning, and Deep Learning. Holds a PhD degree. Certified in Certified Ethical Hacker. 13 years of experience.","Cloud Computing, Data Analysis, Marketing",Bachelor's,Certified Ethical Hacker,6,0.25,0
"Experienced in Project Management, Data Analysis, and Cloud Computing. Holds a Bachelor's degree. Certified in Google Data Analytics. 9 years of experience.","Deep Learning, Cybersecurity, SQL, Cloud Computing",High School,Certified Ethical Hacker,2,0.79,1
"Experienced in Cybersecurity, Cloud Computing, and Project Management. Holds a Master's degree. Certified in AWS Certified. 15 years of experience.","Marketing, Data Analysis, Project Management",High School,None,2,0.79,0
"Experienced in Deep Learning, Java, and Python. Holds a High School degree. Certified in AWS Certified. 13 years of experience.","Cybersecurity, Marketing, Cloud Computing, SQL",Bachelor's,PMP,14,0.88,1
"Experienced in Cloud Computing, SQL, and Cloud Computing. Holds a Bachelor's degree. Certified in Google Data Analytics. 10 years of experience.","Marketing, Machine Learning, Java",PhD,Google Data Analytics,20,0.69,1
"Experienced in Python, Java, and Data Analysis. Holds a High School degree. Certified in PMP. 13 years of experience.","Project Management, Cloud Computing, Marketing, Deep Learning",Bachelor's,Certified Ethical Hacker,8,0.79,0
"Experienced in Deep Learning, Data Analysis, and Python. Holds a Master's degree. Certified in Certified Ethical Hacker. 15 years of experience.","Machine Learning, Cybersecurity, Data Analysis",PhD,PMP,12,0.23,0
"Experienced in Marketing, Python, and Python. Holds a PhD degree. Certified in AWS Certified. 10 years of experience.","Java, Marketing, SQL",Master's,Certified Ethical Hacker,18,0.33,0
"Experienced in Python, Cloud Computing, and Cloud Computing. Holds a PhD degree. Certified in None. 4 years of experience.","Marketing, Python",High School,None,5,0.32,1
"Experienced in Cloud Computing, Machine Learning, and Marketing. Holds a Bachelor's degree. Certified in PMP. 5 years of experience.","Data Analysis, Java, SQL",PhD,Google Data Analytics,16,0.84,0
"Experienced in Marketing, Data Analysis, and Marketing. Holds a Bachelor's degree. Certified in PMP. 14 years of experience.","Cybersecurity, Machine Learning",Master's,None,14,0.62,0
"Experienced in Java, Cybersecurity, and Cloud Computing. Holds a Master's degree. Certified in None. 15 years of experience.","SQL, Java, Project Management, Cybersecurity",PhD,Google Data Analytics,10,0.5,0
"Experienced in Java, Java, and Deep Learning. Holds a High School degree. Certified in Certified Ethical Hacker. 7 years of experience.","Python, Data Analysis, Cloud Computing, Cybersecurity",High School,None,20,0.3,0
"Experienced in Machine Learning, Project Management, and Cybersecurity. Holds a High School degree. Certified in AWS Certified. 3 years of experience.","Java, Cloud Computing, Deep Learning",High School,PMP,6,0.49,1
"Experienced in Deep Learning, Python, and Machine Learning. Holds a Master's degree. Certified in AWS Certified. 11 years of experience.","SQL, Machine Learning, Marketing",High School,Google Data Analytics,15,0.41,1
"Experienced in Cybersecurity, Data Analysis, and Marketing. Holds a Bachelor's degree. Certified in PMP. 4 years of experience.","Cybersecurity, Machine Learning, Marketing, Cloud Computing",High School,AWS Certified,8,0.41,1
"Experienced in Python, Project Management, and Machine Learning. Holds a Bachelor's degree. Certified in Google Data Analytics. 1 years of experience.","Machine Learning, Java, Project Management, Python",PhD,Certified Ethical Hacker,16,0.5,0
"Experienced in Python, Java, and Marketing. Holds a PhD degree. Certified in Google Data Analytics. 11 years of experience.","Java, Python, SQL, Data Analysis",High School,Certified Ethical Hacker,1,0.68,1
"Experienced in Cloud Computing, Cloud Computing, and Deep Learning. Holds a Bachelor's degree. Certified in PMP. 6 years of experience.","Python, Deep Learning, Cloud Computing",PhD,Google Data Analytics,15,0.24,1
"Experienced in Cybersecurity, Java, and Cybersecurity. Holds a PhD degree. Certified in Certified Ethical Hacker. 11 years of experience.","Deep Learning, Cloud Computing",PhD,Google Data Analytics,11,0.41,1
"Experienced in Cloud Computing, Marketing, and Cloud Computing. Holds a Master's degree. Certified in None. 13 years of experience.","Java, Project Management",High School,Certified Ethical Hacker,14,0.62,0
"Experienced in SQL, Java, and Cybersecurity. Holds a High School degree. Certified in Google Data Analytics. 9 years of experience.","Java, Python, Cloud Computing",Bachelor's,None,10,0.85,0
"Experienced in Project Management, Machine Learning, and Project Management. Holds a Bachelor's degree. Certified in PMP. 2 years of experience.","Python, Marketing, Deep Learning",High School,None,10,0.31,0
"Experienced in Cloud Computing, Marketing, and Machine Learning. Holds a High School degree. Certified in AWS Certified. 3 years of experience.","Project Management, Marketing, Machine Learning",PhD,PMP,0,0.48,0
"Experienced in Java, Cybersecurity, and Deep Learning. Holds a Bachelor's degree. Certified in Certified Ethical Hacker. 10 years of experience.","Project Management, Python, SQL, Marketing",High School,AWS Certified,19,0.36,1
"Experienced in Cybersecurity, Marketing, and Marketing. Holds a High School degree. Certified in None. 14 years of experience.","Python, Data Analysis, Cloud Computing, SQL",PhD,Google Data Analytics,3,0.3,0
"Experienced in Marketing, SQL, and Java. Holds a Bachelor's degree. Certified in AWS Certified. 6 years of experience.","Project Management, Data Analysis",Master's,AWS Certified,9,0.6,0
"Experienced in Cybersecurity, Project Management, and Cloud Computing. Holds a Bachelor's degree. Certified in None. 1 years of experience.","Cloud Computing, SQL, Python",PhD,Certified Ethical Hacker,5,0.4,1
"Experienced in Cloud Computing, Cloud Computing, and Marketing. Holds a Master's degree. Certified in PMP. 14 years of experience.","Project Management, Python, Data Analysis",Master's,AWS Certified,1,0.86,0
"Experienced in Cloud Computing, Machine Learning, and Machine Learning. Holds a High School degree. Certified in PMP. 2 years of experience.","SQL, Python, Cybersecurity, Machine Learning",High School,Certified Ethical Hacker,13,0.27,1
"Experienced in Marketing, Cybersecurity, and SQL. Holds a Bachelor's degree. Certified in Google Data Analytics. 5 years of experience.","Data Analysis, Java, Cloud Computing",Bachelor's,None,8,0.26,1
"Experienced in Cybersecurity, Java, and Project Management. Holds a Bachelor's degree. Certified in Google Data Analytics. 14 years of experience.","Deep Learning, Python",Bachelor's,PMP,7,0.35,0
"Experienced in Project Management, Machine Learning, and Cybersecurity. Holds a High School degree. Certified in Certified Ethical Hacker. 2 years of experience.","Marketing, Deep Learning, Cybersecurity",Bachelor's,AWS Certified,5,0.28,0
"Experienced in Cloud Computing, Cloud Computing, and Machine Learning. Holds a High School degree. Certified in None. 7 years of experience.","Project Management, Machine Learning",Bachelor's,Google Data Analytics,10,0.57,0
"Experienced in Cybersecurity, Machine Learning, and Machine Learning. Holds a High School degree. Certified in None. 15 years of experience.","Python, Java, Data Analysis",Bachelor's,PMP,6,0.53,1
"Experienced in Cloud Computing, Marketing, and Cloud Computing. Holds a PhD degree. Certified in Certified Ethical Hacker. 7 years of experience.","Cybersecurity, Cloud Computing, Python",Master's,AWS Certified,11,0.75,0
"Experienced in Deep Learning, Java, and Python. Holds a Master's degree. Certified in Certified Ethical Hacker. 13 years of experience.","Data Analysis, Java",PhD,PMP,13,0.76,0
"Experienced in Cloud Computing, Marketing, and Cloud Computing. Holds a Master's degree. Certified in AWS Certified. 13 years of experience.","Marketing, Java, Project Management, Cloud Computing",Bachelor's,Certified Ethical Hacker,0,0.63,0
"Experienced in SQL, Project Management, and Java. Holds a Master's degree. Certified in Google Data Analytics. 7 years of experience.","Java, Cloud Computing, Marketing",Bachelor's,Google Data Analytics,3,0.44,0
"Experienced in Cloud Computing, Cloud Computing, and Java. Holds a Bachelor's degree. Certified in Google Data Analytics. 4 years of experience.","Project Management, Python, Deep Learning",High School,PMP,16,0.39,0
"Experienced in Machine Learning, SQL, and Deep Learning. Holds a High School degree. Certified in PMP. 13 years of experience.","Machine Learning, Deep Learning, Python, Project Management",PhD,AWS Certified,1,0.72,1
"Experienced in Data Analysis, Marketing, and Machine Learning. Holds a Bachelor's degree. Certified in Certified Ethical Hacker. 6 years of experience.","Data Analysis, SQL, Machine Learning",Master's,None,3,0.49,1
"Experienced in Data Analysis, Cybersecurity, and SQL. Holds a Master's degree. Certified in Google Data Analytics. 15 years of experience.","Marketing, Data Analysis",PhD,Certified Ethical Hacker,0,0.68,0
"Experienced in Data Analysis, Cloud Computing, and Data Analysis. Holds a Master's degree. Certified in None. 14 years of experience.","Python, Project Management",Bachelor's,Certified Ethical Hacker,13,0.85,0
"Experienced in Machine Learning, Java, and Data Analysis. Holds a Master's degree. Certified in Certified Ethical Hacker. 9 years of experience.","Cybersecurity, Data Analysis",PhD,Certified Ethical Hacker,7,0.82,0
"Experienced in Marketing, SQL, and Marketing. Holds a Master's degree. Certified in Google Data Analytics. 3 years of experience.","SQL, Data Analysis, Cloud Computing, Cybersecurity",Bachelor's,Google Data Analytics,5,0.3,1
"Experienced in Python, Python, and Machine Learning. Holds a Bachelor's degree. Certified in AWS Certified. 11 years of experience.","Data Analysis, Cybersecurity, Python",PhD,AWS Certified,10,0.8,1
"Experienced in Marketing, Marketing, and Cybersecurity. Holds a PhD degree. Certified in None. 13 years of experience.","Machine Learning, Python, Project Management, Marketing",Bachelor's,None,13,0.7,1
"Experienced in Deep Learning, Marketing, and SQL. Holds a PhD degree. Certified in PMP. 4 years of experience.","Marketing, Data Analysis, Python, Cybersecurity",PhD,None,9,0.9,0
"Experienced in Python, Deep Learning, and Cloud Computing. Holds a Bachelor's degree. Certified in None. 7 years of experience.","Marketing, Java, Cybersecurity, Python",Bachelor's,AWS Certified,0,0.52,0
"Experienced in Marketing, Cloud Computing, and Python. Holds a PhD degree. Certified in PMP. 7 years of experience.","Machine Learning, Deep Learning",PhD,AWS Certified,11,0.76,0
"Experienced in Deep Learning, Java, and Java. Holds a Master's degree. Certified in PMP. 14 years of experience.","Deep Learning, Cloud Computing, Machine Learning",Master's,AWS Certified,19,0.34,0
"Experienced in Python, Project Management, and Machine Learning. Holds a High School degree. Certified in PMP. 2 years of experience.","Machine Learning, Cloud Computing",Bachelor's,AWS Certified,1,0.33,1
"Experienced in SQL, Machine Learning, and Deep Learning. Holds a Master's degree. Certified in AWS Certified. 3 years of experience.","Cloud Computing, Data Analysis",Bachelor's,None,1,0.6,1
"Experienced in Cloud Computing, Java, and Cybersecurity. Holds a Master's degree. Certified in PMP. 5 years of experience.","Marketing, Project Management, Data Analysis, Deep Learning",PhD,Google Data Analytics,6,0.33,1
"Experienced in Marketing, Deep Learning, and Data Analysis. Holds a PhD degree. Certified in Google Data Analytics. 13 years of experience.","Deep Learning, Marketing, Java",Master's,PMP,7,0.25,0
"Experienced in Cybersecurity, Python, and Deep Learning. Holds a PhD degree. Certified in None. 14 years of experience.","Marketing, Project Management",PhD,Google Data Analytics,3,0.43,0
"Experienced in Python, Data Analysis, and Data Analysis. Holds a Bachelor's degree. Certified in Google Data Analytics. 15 years of experience.","Cloud Computing, Deep Learning, Machine Learning, Python",High School,AWS Certified,12,0.56,1
"Experienced in SQL, Marketing, and Cloud Computing. Holds a High School degree. Certified in AWS Certified. 6 years of experience.","Data Analysis, SQL",Bachelor's,Certified Ethical Hacker,19,0.83,1
"Experienced in Python, Machine Learning, and Deep Learning. Holds a Master's degree. Certified in AWS Certified. 5 years of experience.","Project Management, Data Analysis",Bachelor's,PMP,13,0.55,0
"Experienced in Cloud Computing, Cloud Computing, and Deep Learning. Holds a Master's degree. Certified in Certified Ethical Hacker. 7 years of experience.","SQL, Java, Project Management",Master's,PMP,3,0.75,1
"Experienced in Data Analysis, Machine Learning, and Data Analysis. Holds a Master's degree. Certified in PMP. 4 years of experience.","Java, Python, Machine Learning, Deep Learning",Bachelor's,None,18,0.26,1
"Experienced in Marketing, Java, and Data Analysis. Holds a PhD degree. Certified in Certified Ethical Hacker. 15 years of experience.","Cybersecurity, Python",High School,PMP,4,0.85,1
"Experienced in Marketing, Cybersecurity, and Deep Learning. Holds a PhD degree. Certified in AWS Certified. 14 years of experience.","Machine Learning, Deep Learning, Data Analysis, Python",High School,PMP,3,0.44,0
"Experienced in Cybersecurity, Project Management, and Java. Holds a PhD degree. Certified in Certified Ethical Hacker. 12 years of experience.","Python, SQL",High School,Certified Ethical Hacker,12,0.71,0
"Experienced in SQL, Data Analysis, and Cloud Computing. Holds a Master's degree. Certified in Google Data Analytics. 5 years of experience.","Machine Learning, Project Management, Data Analysis, Cybersecurity",High School,Google Data Analytics,17,0.74,0
"Experienced in Machine Learning, Python, and Project Management. Holds a Master's degree. Certified in Google Data Analytics. 6 years of experience.","Project Management, Python",Master's,None,18,0.86,1
"Experienced in Marketing, Marketing, and Cloud Computing. Holds a PhD degree. Certified in Google Data Analytics. 14 years of experience.","Java, Deep Learning, SQL",PhD,Certified Ethical Hacker,19,0.32,1
"Experienced in Marketing, Java, and Data Analysis. Holds a Master's degree. Certified in Google Data Analytics. 1 years of experience.","Java, Project Management, SQL, Marketing",PhD,AWS Certified,9,0.32,0
"Experienced in Project Management, Marketing, and Deep Learning. Holds a High School degree. Certified in AWS Certified. 4 years of experience.","Marketing, SQL, Deep Learning",Master's,Google Data Analytics,20,0.23,1
"Experienced in Data Analysis, Machine Learning, and Project Management. Holds a Master's degree. Certified in PMP. 1 years of experience.","Project Management, SQL, Cybersecurity",PhD,PMP,1,0.23,0
"Experienced in Cloud Computing, Machine Learning, and Marketing. Holds a Bachelor's degree. Certified in PMP. 3 years of experience.","Cloud Computing, Marketing, Project Management",Bachelor's,AWS Certified,3,0.39,1
"Experienced in Cloud Computing, Machine Learning, and SQL. Holds a Bachelor's degree. Certified in Certified Ethical Hacker. 2 years of experience.","Data Analysis, Project Management, SQL, Cloud Computing",Bachelor's,AWS Certified,6,0.88,1
"Experienced in Cloud Computing, Project Management, and Python. Holds a Master's degree. Certified in PMP. 15 years of experience.","Deep Learning, Java, Machine Learning",Master's,Certified Ethical Hacker,11,0.71,1
"Experienced in Deep Learning, Data Analysis, and Python. Holds a High School degree. Certified in None. 10 years of experience.","Machine Learning, Cybersecurity, Python, Java",Master's,PMP,10,0.28,1
"Experienced in Project Management, Cybersecurity, and SQL. Holds a Master's degree. Certified in Certified Ethical Hacker. 2 years of experience.","Deep Learning, Marketing",PhD,Certified Ethical Hacker,15,0.57,1
"Experienced in Python, Machine Learning, and Machine Learning. Holds a High School degree. Certified in Google Data Analytics. 9 years of experience.","Marketing, Java, Data Analysis",PhD,Certified Ethical Hacker,18,0.6,0
"Experienced in Project Management, Cloud Computing, and Cloud Computing. Holds a Master's degree. Certified in None. 11 years of experience.","Data Analysis, Python, Java",Bachelor's,None,4,0.31,1
"Experienced in Marketing, Marketing, and Java. Holds a Bachelor's degree. Certified in PMP. 3 years of experience.","SQL, Java, Cloud Computing",Master's,None,1,0.59,0
"Experienced in Marketing, Python, and Cybersecurity. Holds a High School degree. Certified in None. 11 years of experience.","Marketing, Project Management",High School,AWS Certified,2,0.58,1
"Experienced in Project Management, SQL, and Project Management. Holds a High School degree. Certified in Google Data Analytics. 9 years of experience.","Java, Python",High School,AWS Certified,0,0.23,1
"Experienced in Cybersecurity, Machine Learning, and Marketing. Holds a Master's degree. Certified in None. 2 years of experience.","Machine Learning, Python, Data Analysis",Bachelor's,Google Data Analytics,18,0.6,1
"Experienced in SQL, Project Management, and Project Management. Holds a Bachelor's degree. Certified in AWS Certified. 11 years of experience.","Python, Project Management, Machine Learning, Cloud Computing",Bachelor's,PMP,6,0.5,0
"Experienced in Cybersecurity, Cybersecurity, and Project Management. Holds a High School degree. Certified in AWS Certified. 12 years of experience.","Project Management, Machine Learning",Master's,None,15,0.62,0
"Experienced in Cybersecurity, Data Analysis, and Cloud Computing. Holds a Master's degree. Certified in AWS Certified. 6 years of experience.","Cybersecurity, Machine Learning",PhD,Certified Ethical Hacker,3,0.74,1
"Experienced in Python, Project Management, and SQL. Holds a Master's degree. Certified in None. 4 years of experience.","Java, Marketing, Cybersecurity",PhD,Google Data Analytics,17,0.74,0
"Experienced in SQL, Marketing, and Marketing. Holds a PhD degree. Certified in Certified Ethical Hacker. 3 years of experience.","Marketing, SQL, Machine Learning",High School,AWS Certified,10,0.67,0
"Experienced in Machine Learning, Cloud Computing, and Machine Learning. Holds a Bachelor's degree. Certified in None. 11 years of experience.","Deep Learning, Python, Data Analysis, Marketing",High School,PMP,4,0.85,1
"Experienced in Python, Cloud Computing, and Deep Learning. Holds a Bachelor's degree. Certified in PMP. 14 years of experience.","Java, Deep Learning, Data Analysis",PhD,AWS Certified,12,0.52,1
"Experienced in Python, Cloud Computing, and SQL. Holds a Master's degree. Certified in Google Data Analytics. 5 years of experience.","SQL, Python",High School,Certified Ethical Hacker,20,0.7,1
"Experienced in Project Management, Java, and Deep Learning. Holds a PhD degree. Certified in PMP. 4 years of experience.","Cybersecurity, Cloud Computing, SQL",Bachelor's,None,19,0.21,0
"Experienced in Cybersecurity, Java, and Project Management. Holds a Bachelor's degree. Certified in Certified Ethical Hacker. 11 years of experience.","Java, Marketing, Cybersecurity, Data Analysis",Bachelor's,Google Data Analytics,0,0.38,1
"Experienced in Cloud Computing, Project Management, and Deep Learning. Holds a High School degree. Certified in Certified Ethical Hacker. 6 years of experience.","Cloud Computing, Deep Learning, Marketing",Master's,None,9,0.62,1
"Experienced in Python, Marketing, and Data Analysis. Holds a PhD degree. Certified in AWS Certified. 6 years of experience.","Machine Learning, Cybersecurity",Master's,PMP,17,0.5,1
"Experienced in Python, Marketing, and Deep Learning. Holds a PhD degree. Certified in AWS Certified. 1 years of experience.","Marketing, Cloud Computing",PhD,Certified Ethical Hacker,6,0.45,0
"Experienced in Deep Learning, Deep Learning, and SQL. Holds a PhD degree. Certified in AWS Certified. 13 years of experience.","Cybersecurity, Marketing, Cloud Computing",High School,Google Data Analytics,20,0.89,1
"Experienced in Cybersecurity, Project Management, and Data Analysis. Holds a High School degree. Certified in PMP. 3 years of experience.","Deep Learning, Python",Master's,Google Data Analytics,12,0.49,0
"Experienced in Python, Java, and Data Analysis. Holds a Master's degree. Certified in PMP. 7 years of experience.","Cybersecurity, Machine Learning, Marketing",High School,None,11,0.46,1
"Experienced in Cybersecurity, Cloud Computing, and SQL. Holds a High School degree. Certified in None. 3 years of experience.","Deep Learning, Java",Bachelor's,Certified Ethical Hacker,8,0.47,0
"Experienced in Cloud Computing, Machine Learning, and Marketing. Holds a PhD degree. Certified in PMP. 14 years of experience.","Machine Learning, Project Management, Cybersecurity",PhD,Certified Ethical Hacker,13,0.68,1
"Experienced in Java, Cloud Computing, and Cybersecurity. Holds a PhD degree. Certified in Certified Ethical Hacker. 5 years of experience.","Java, Machine Learning, Python, Project Management",Bachelor's,Certified Ethical Hacker,13,0.7,1
"Experienced in Marketing, Cloud Computing, and Data Analysis. Holds a Bachelor's degree. Certified in PMP. 11 years of experience.","Data Analysis, Project Management, Deep Learning",PhD,PMP,6,0.71,1
"Experienced in Machine Learning, Marketing, and Machine Learning. Holds a Bachelor's degree. Certified in Certified Ethical Hacker. 13 years of experience.","Data Analysis, SQL, Python",Bachelor's,AWS Certified,17,0.72,1
"Experienced in Cloud Computing, Deep Learning, and Data Analysis. Holds a PhD degree. Certified in None. 8 years of experience.","Marketing, Data Analysis, Cloud Computing",High School,None,15,0.66,1
"Experienced in Machine Learning, Cloud Computing, and Data Analysis. Holds a High School degree. Certified in PMP. 6 years of experience.","Machine Learning, Marketing",Bachelor's,PMP,13,0.81,0
"Experienced in Machine Learning, Machine Learning, and SQL. Holds a Bachelor's degree. Certified in Certified Ethical Hacker. 13 years of experience.","Cloud Computing, Deep Learning, Java",Bachelor's,PMP,13,0.87,0
"Experienced in Cybersecurity, Machine Learning, and Deep Learning. Holds a Bachelor's degree. Certified in Certified Ethical Hacker. 4 years of experience.","Cybersecurity, Machine Learning",PhD,Certified Ethical Hacker,13,0.29,1
"Experienced in Deep Learning, Data Analysis, and Python. Holds a Master's degree. Certified in None. 14 years of experience.","Cloud Computing, Machine Learning",PhD,Certified Ethical Hacker,11,0.34,0
"Experienced in Cybersecurity, SQL, and Cybersecurity. Holds a Master's degree. Certified in AWS Certified. 2 years of experience.","Java, Cloud Computing",High School,None,5,0.25,0
"Experienced in Cloud Computing, Data Analysis, and Python. Holds a Master's degree. Certified in None. 1 years of experience.","Project Management, Cybersecurity, Data Analysis, Cloud Computing",PhD,PMP,14,0.85,1
"Experienced in Marketing, Cloud Computing, and Data Analysis. Holds a Bachelor's degree. Certified in None. 9 years of experience.","Cybersecurity, Project Management, Java, Marketing",PhD,Google Data Analytics,6,0.79,0
"Experienced in Python, Machine Learning, and Machine Learning. Holds a Bachelor's degree. Certified in AWS Certified. 13 years of experience.","Machine Learning, Marketing, Deep Learning, Project Management",PhD,Google Data Analytics,11,0.42,1
